iter	RMSE
36	7.306431077
452	4.030034932
651	3.625163557
253	4.6119388
303	4.425030004
746	3.439521363
571	3.7826445
623	3.678932783
732	3.468134848
891	3.204519413
262	4.581471435
610	3.710755648
297	4.444696901
414	4.130228592
150	4.996387564
788	3.368186663
640	3.646276182
889	3.208331683
550	3.828161535
886	3.211595017
488	3.957428286
147	5.017569424
146	5.01952451
720	3.488891789
931	3.141919643
739	3.451270508
659	3.611955873
348	4.304787172
463	4.003284363
325	4.363584638
186	4.842058646
123	5.139529364
853	3.258108469
608	3.71235348
143	5.037477349
958	3.10364681
197	4.800087884
609	3.711223749
279	4.518818099
293	4.458540976
400	4.160950571
122	5.146388143
183	4.85130244
202	4.778623704
438	4.052715901
246	4.631606017
415	4.12884186
932	3.141054135
765	3.407494015
906	3.179782639
835	3.285692682
887	3.210965255
129	5.104075866
637	3.65106705
402	4.154448767
784	3.373704309
770	3.399737714
735	3.463037608
913	3.16705966
219	4.716173382
641	3.645808194
915	3.164689733
752	3.42696281
806	3.337329521
919	3.15819426
624	3.674167041
874	3.229648848
760	3.414391848
386	4.202968852
972	3.081047548
509	3.913849268
267	4.571019224
819	3.316182682
441	4.049275336
496	3.942347078
112	5.206364257
691	3.547992926
232	4.6690533
869	3.236405498
607	3.712814764
671	3.587151536
373	4.230357491
981	3.066737893
842	3.27557063
233	4.667595702
785	3.372971757
676	3.57919422
317	4.3861981
648	3.629408252
410	4.138893468
898	3.194213094
709	3.515083413
358	4.27890232
258	4.596488253
744	3.44411263
627	3.665506042
632	3.656695243
282	4.506038537
376	4.225963861
384	4.208624791
224	4.700269738
953	3.111661241
814	3.326249879
472	3.986678254
347	4.305137856
505	3.921645957
639	3.649884732
987	3.059576341
928	3.146254125
905	3.180741589
619	3.688020895
855	3.254817983
803	3.342329465
645	3.636344905
846	3.267984685
556	3.813529315
957	3.106867336
577	3.770170875
795	3.35766119
85	5.464052013
242	4.645506007
698	3.534993327
159	4.954240363
524	3.88822057
35	7.401158744
540	3.85599111
170	4.906457206
654	3.621130639
890	3.207110711
857	3.253023652
847	3.267702508
944	3.123072589
733	3.467820182
95	5.348292324
563	3.801309667
240	4.6507302
742	3.448122004
574	3.775462644
690	3.549807725
460	4.008924707
553	3.817951642
888	3.209413583
206	4.763138716
392	4.180967944
794	3.359543675
397	4.170830274
766	3.406287128
848	3.266671924
217	4.723483365
4	13.18870211
768	3.404012662
642	3.645042989
929	3.144869828
612	3.705623591
738	3.455522955
546	3.841933528
725	3.47820549
683	3.562475026
98	5.323861644
804	3.34220347
727	3.472268163
573	3.780045374
406	4.147444889
502	3.927671752
47	6.531283097
32	7.699675801
779	3.380110746
839	3.280468341
200	4.785989873
134	5.079219421
27	8.29256019
880	3.220047503
230	4.675751423
489	3.952641965
772	3.397245411
378	4.222595381
288	4.478285428
418	4.117038244
674	3.584362847
391	4.185852431
592	3.734546151
498	3.939011019
138	5.061358312
62	5.901932711
471	3.990635743
647	3.630724975
128	5.108728704
976	3.072988853
520	3.896044669
838	3.280712855
962	3.09645939
64	5.846485734
812	3.327563111
14	10.5541002
156	4.973142217
40	6.990793435
492	3.947297924
379	4.219700938
187	4.838623675
763	3.408614844
216	4.723865975
791	3.36348442
52	6.275766122
878	3.221968268
337	4.33521887
748	3.435509465
719	3.490044385
724	3.482668951
295	4.453027414
701	3.529973872
251	4.619602091
726	3.474392283
461	4.008286778
455	4.020239186
996	3.047217327
815	3.322336238
862	3.246257135
269	4.563383471
201	4.782387142
161	4.948337777
555	3.81503012
729	3.470049971
401	4.158544115
702	3.527325183
476	3.983853457
821	3.311222803
771	3.399185251
105	5.262684686
565	3.798026138
389	4.192479929
1	14.22518863
937	3.13443178
982	3.065248174
561	3.803370052
80	5.526157283
205	4.764496689
34	7.498880302
775	3.389617243
508	3.916124385
427	4.088994581
454	4.023806097
366	4.253432436
91	5.391618744
339	4.326140732
897	3.195671746
564	3.800003847
345	4.308220789
776	3.385426488
241	4.647671336
13	10.79916926
315	4.392838833
600	3.721443615
387	4.197261935
273	4.546227503
166	4.928964153
840	3.277814895
992	3.055476518
646	3.634754643
818	3.319609638
484	3.962246044
980	3.067763166
504	3.925987561
831	3.293144745
243	4.641297906
566	3.794745847
875	3.227208761
562	3.803215211
686	3.555209766
189	4.830858976
782	3.375814782
699	3.531637011
475	3.985596662
681	3.568177107
510	3.912826119
58	6.030559288
474	3.986152671
560	3.80573346
856	3.253898449
747	3.436809225
252	4.613584029
21	9.170203312
313	4.400284725
459	4.012884822
160	4.952320707
276	4.529757367
955	3.107333579
191	4.822246226
385	4.204659106
805	3.341279219
413	4.131363444
491	3.94938344
343	4.318000924
769	3.400398762
308	4.411129391
661	3.610044025
130	5.100317606
663	3.602510618
871	3.233169169
99	5.313277281
372	4.233495944
87	5.438255432
458	4.014530169
330	4.351648009
214	4.731864595
